n,greedy_cost,greedy_time,greedy_benefit,batching_cost,batching_time,batching_benefit,alternative_cost,alternative_time,alternative_benefit
10,36.9,0.001427,2.18764,29.3,1.57835,2.3803,30,0.085349,2.58356
10,42.4,0.001341,2.32316,32.4,0.042041,2.48467,34.1,0.031679,2.56407
10,65.6,0.00127,1.50132,56.9,0.041762,1.68668,57.1,0.032473,1.71504
10,29.5,0.00139,2.12265,23.7,0.051118,2.46848,24.4,0.033499,2.744
10,33.9,0.001476,2.72653,30.8,0.057247,2.76135,33.3,0.038568,2.51203
10,63.6,0.001256,1.7508,54.4,0.043541,2.32476,56.5,0.033373,1.9504
10,44.9,0.001143,1.95153,41,0.0493,1.96554,44.2,0.033354,2.04453
10,56.3,0.001182,1.88981,46.9,0.045134,2.49294,47,0.046661,2.50264
10,38.1,0.001428,1.78968,35.5,0.042621,1.94116,36.2,0.034836,2.12418
10,58.1,0.001302,1.69759,49.7,0.059225,1.83825,50.5,0.027752,1.92078
100,408.7,0.057186,2.66872,329.5,2.77678,2.58795,352.6,2.48656,2.91832
100,380,0.059131,2.57695,344.2,2.45568,2.54653,367.5,2.76017,2.84496
100,307.7,0.068094,3.10373,241.5,3.52435,3.13967,262.8,2.52695,3.32637
100,380.1,0.059702,2.58536,317.4,3.45055,2.55401,337.3,2.2773,2.94301
100,279.2,0.055957,2.87035,234.8,2.53378,3.04362,267.6,2.4358,3.26471
100,398.5,0.058004,2.57917,341.7,2.61608,3.75177,356.7,2.76225,2.7413
100,323.1,0.054458,2.91306,250.9,2.42048,2.94987,284.9,2.32228,3.14624
100,325.5,0.049689,2.95811,260,2.15548,2.92166,293.3,2.03208,3.25734
100,271.3,0.049873,3.20167,227.6,2.34006,3.07392,249.3,2.15895,3.40305
100,299,0.04837,2.89727,258.7,2.22696,2.80231,277.3,2.29401,3.07155
250,917.9,0.300778,3.05795,706.5,17.9946,4.01831,748.1,16.4926,3.29875
250,988.2,0.361418,2.87723,773.9,14.9496,2.92202,859.3,15.8043,3.19874
250,736.9,0.297696,3.02062,599.5,21.8525,2.91784,666.4,17.9227,3.28307
250,844.5,0.307207,4.23301,730.9,14.6085,3.28265,781.4,16.7468,3.20746
250,844.2,0.369008,2.85226,727,17.8197,2.86275,766.1,16.7684,3.14385
250,795.7,0.396086,3.02258,635.6,19.2211,2.97241,704.6,15.4608,3.33634
250,793.7,0.332256,3.00279,676.1,17.1936,2.87424,721,15.9303,3.26256
250,867.8,0.302256,3.14013,681.7,14.1124,3.17119,743.3,14.3213,3.18284
250,944.9,0.320075,2.67004,825.7,17.7483,2.57061,889.3,17.416,2.91789
250,762.2,0.325991,3.02197,659.1,16.8778,2.74386,719.5,15.1936,3.17244
500,1655.3,1.45442,3.03581,1371.2,91.8578,2.8768,1455.7,78.5217,3.27906
500,1605.1,1.44343,4.00967,1412.8,87.6038,2.93651,1496.8,70.45,3.37996
500,1486.9,1.50904,3.80785,1270.6,83.3808,3.13114,1367.9,69.2726,3.47792
500,1390.2,1.30992,4.83439,1174.4,88.4243,3.22385,1270.5,86.1545,3.5587
500,1467,1.29113,3.70333,1291.7,79.6487,3.18366,1367.7,79.3116,3.38551
500,1441.5,1.48206,3.24652,1255.4,87.9344,2.89538,1344.5,135.635,3.32697
500,1737.4,1.52811,4.43669,1521.8,119.072,2.685,1610.1,191.194,3.20591
500,1705.1,1.51075,3.40736,1417.4,111.536,2.90815,1528.4,188.415,3.29397
500,1512.7,1.63458,3.36471,1243.5,122.564,3.4365,1353,77.7552,3.40482
500,1531.7,1.53638,3.03531,1309.4,143.199,2.83059,1424.9,90.6392,3.32206
