taxi,pax,recojida,viaje,tarifa
1,1,6.4,14.80,38.56
2,8,4.3,3.94,10.8
3,3,0.6,4.34,14.8
4,10,4.0,2.14,8.3
5,7,8.7,2.7,13.9
6,4,2.3,5.55,16.56
7,2,1.1,2.8,14.8
8,9,0.1,2.12,10.38
9,5,3.2,4.58,17.16
10,6,1.7,5.31,23.75
